"RecordID","Branch","Department","Entity","Transaction Number","Billing Code","Card Number","Fuel Platform","Customer ID","Fuel Type","Discrepancies","Employee ID","Employee Type","Transaction Date","Merchant Name","Merchant City","Merchant State","PADD/Region","Asset Number","Asset Description","Odometer","Product Description","Product Type Description","Quantity","Price Per Unit","Net Cost","Gross Cost","UOM","Posted Date","Month","Currency","Card Type Flag","Cardholder Name","Trip & Dispatch Quantity","Reporting Level","MCC","Merchant Code","Merchant Address 1","Merchant Address 2","Merchant Postal Code","Chain Code","PS Item ID","Cross Border Transaction","Total Amount Due","Total Discount Amount","Total Tax Amount","Transaction Fee","Fuel Transaction ID","Fuel Transaction Detail ID","Branch Description","Original Branch","Original Branch Description","Reviewed By","Reviewed Date","Reviewed Comments","Payment Processed By","Payment Processed Date","Transaction Time Zone","Last Modified By","Last Modified Date","FileName","Full Card Number","K_Equipment Description","K_Safe Harbor Percentage"
"616924","LAX","77LAX","S2066","001000000","F","FUELMAN MASTERCARD","CHDLZ","PREFERRED","DIESEL #2 ULTRA-LOW SULFUR CARB WIT","","097156","REGULAR","2022-01-01","PILOT FLYING J","MODESTO","CA","CALIFORNIA","89275","TRACTOR(DAY)","763389","UNLEADED GASOLINE","GASOLINE","102","3.7250","379.95","379.95","GAL","2022-01-01","1","USD","E","LINGARAJ, NAVEEN","0","F","CL191","6789 BIRCH ST.","","93204-0000","PM003","0","NO","379.95","0","0","0","0","3500000","3850000","FALLON LOGISTICS","LAX","FALLON LOGISTICS","WILLIAMS1","2022-01-03 00:00:00","EXPORTED FOR PAYMENT","THOMAS1","2022-01-18 00:00:00","CST","SMITH1","2022-01-03 00:00:00","202201","","Other Auxiliary Equipment","0.1"
"616925","LAS","77LAS","S2065","001000001","F","FUELMAN MASTERCARD","CHDLZ","PREFERRED","DIESEL #2 ULTRA-LOW SULFUR CARB WIT","","092945","REGULAR","2022-01-01","CHEVRON FUEL","FRESNO","CA","CALIFORNIA","82471","TRAILER","607616","UNLEADED GASOLINE","GASOLINE","119","3.8880","462.67","462.67","GAL","2022-01-01","1","USD","E","LINGARAJ, NAVEEN","0","F","CL191","5678 OAK AVE.","","93204-0000","PM003","0","NO","462.67","0","0","0","0","3500001","3850001","FALLON LOGISTICS","LAS","FALLON LOGISTICS","VEMURIB1","2022-01-03 00:00:00","EXPORTED FOR PAYMENT","THOMAS1","2022-01-18 00:00:00","CST","MILLER1","2022-01-03 00:00:00","202201","","Other Auxiliary Equipment","0.1"
"616926","SAN","77SAN","S2068","001000002","F","FUELMAN MASTERCARD","CHDLZ","PREFERRED","PREMIUM UNLEADED","","093442","REGULAR","2022-01-01","BP FUEL STOP","SACRAMENTO","CA","CALIFORNIA","86051","CONTAINER","559338","DIESEL #2 ULTRA-LOW SULFUR CARB WIT","PREMIUM","130","4.9470","643.11","643.11","GAL","2022-01-01","1","USD","E","LINGARAJ, NAVEEN","0","F","CL191","3456 PINE ST.","","93204-0000","PM003","0","NO","643.11","0","0","0","0","3500002","3850002","FALLON LOGISTICS","SAN","FALLON LOGISTICS","JONES1","2022-01-03 00:00:00","EXPORTED FOR PAYMENT","MOORE1","2022-01-18 00:00:00","CST","MILLER1","2022-01-03 00:00:00","202201","","Other Auxiliary Equipment","0.1"
"616927","LAS","77LAS","S2072","001000003","F","FUELMAN MASTERCARD","CHDLZ","PREFERRED","DIESEL #2 ULTRA-LOW SULFUR CARB WIT","","096479","REGULAR","2022-01-01","SPEEDWAY","STOCKTON","CA","CALIFORNIA","81812","TRACTOR(DAY)","962557","UNLEADED GASOLINE","PREMIUM","105","3.8030","399.32","399.32","GAL","2022-01-01","1","USD","E","LINGARAJ, NAVEEN","0","F","CL191","2345 ASH ST.","","93204-0000","PM003","0","NO","399.32","0","0","0","0","3500003","3850003","FALLON LOGISTICS","LAS","FALLON LOGISTICS","VEMURIB1","2022-01-03 00:00:00","EXPORTED FOR PAYMENT","THOMAS1","2022-01-18 00:00:00","CST","WILLIAMS1","2022-01-03 00:00:00","202201","","Other Auxiliary Equipment","0.1"
"616928","SAN","77SAN","S2073","001000004","F","FUELMAN MASTERCARD","CHDLZ","PREFERRED","DIESEL","","098125","REGULAR","2022-01-01","TA PETRO","FONTANA","CA","CALIFORNIA","85401","TRUCK(STRAIGHT)","604581","DIESEL #2 ULTRA-LOW SULFUR CARB WIT","PREMIUM","127","3.7540","476.76","476.76","GAL","2022-01-01","1","USD","E","LINGARAJ, NAVEEN","0","F","CL191","4567 CEDAR ST.","","93204-0000","PM003","0","NO","476.76","0","0","0","0","3500004","3850004","FALLON LOGISTICS","SAN","FALLON LOGISTICS","SMITH1","2022-01-03 00:00:00","EXPORTED FOR PAYMENT","CAPWELA1","2022-01-18 00:00:00","CST","BROWN1","2022-01-03 00:00:00","202201","","Other Auxiliary Equipment","0.1"
"616929","SAN","77SAN","S2068","001000005","F","FUELMAN MASTERCARD","CHDLZ","PREFERRED","DIESEL #2 ULTRA-LOW SULFUR CARB WIT","","092023","REGULAR","2022-01-01","TA PETRO","FONTANA","CA","CALIFORNIA","81072","TANKER","662998","DIESEL","GASOLINE","66","5.0720","334.75","334.75","GAL","2022-01-01","1","USD","E","LINGARAJ, NAVEEN","0","F","CL191","4567 CEDAR ST.","","93204-0000","PM003","0","NO","334.75","0","0","0","0","3500005","3850005","FALLON LOGISTICS","SAN","FALLON LOGISTICS","WILLIAMS1","2022-01-03 00:00:00","EXPORTED FOR PAYMENT","TAYLOR1","2022-01-18 00:00:00","CST","MILLER1","2022-01-03 00:00:00","202201","","Other Auxiliary Equipment","0.1"
"616930","PHX","77PHX","S2067","001000006","F","FUELMAN MASTERCARD","CHDLZ","PREFERRED","DIESEL","","094866","REGULAR","2022-01-01","ONE9 EZ TRIP 1277","AVENAL","CA","CALIFORNIA","82257","VAN","769545","UNLEADED GASOLINE","GASOLINE","146","3.6070","526.62","526.62","GAL","2022-01-01","1","USD","E","LINGARAJ, NAVEEN","0","F","CL191","44779 S. LASSEN AVE.","","93204-0000","PM003","0","NO","526.62","0","0","0","0","3500006","3850006","FALLON LOGISTICS","PHX","FALLON LOGISTICS","DAVIS1","2022-01-03 00:00:00","EXPORTED FOR PAYMENT","JOHNSON1","2022-01-18 00:00:00","CST","JONES1","2022-01-03 00:00:00","202201","","Other Auxiliary Equipment","0.1"
"616931","PHX","77PHX","S2066","001000007","F","FUELMAN MASTERCARD","CHDLZ","PREFERRED","PREMIUM UNLEADED","","093132","REGULAR","2022-01-01","TA PETRO","FONTANA","CA","CALIFORNIA","85984","TRAILER","803624","UNLEADED GASOLINE","GASOLINE","99","3.9680","392.83","392.83","GAL","2022-01-01","1","USD","E","LINGARAJ, NAVEEN","0","F","CL191","4567 CEDAR ST.","","93204-0000","PM003","0","NO","392.83","0","0","0","0","3500007","3850007","FALLON LOGISTICS","PHX","FALLON LOGISTICS","WILLIAMS1","2022-01-03 00:00:00","EXPORTED FOR PAYMENT","ANDERSON1","2022-01-18 00:00:00","CST","BROWN1","2022-01-03 00:00:00","202201","","Other Auxiliary Equipment","0.1"
"616932","DEN","77DEN","S2069","001000008","F","FUELMAN MASTERCARD","CHDLZ","PREFERRED","PREMIUM UNLEADED","","091239","REGULAR","2022-01-01","ONE9 EZ TRIP 1277","AVENAL","CA","CALIFORNIA","82247","TRUCK(STRAIGHT)","670046","DIESEL #2 ULTRA-LOW SULFUR CARB WIT","DIESEL","91","4.7940","436.25","436.25","GAL","2022-01-01","1","USD","E","LINGARAJ, NAVEEN","0","F","CL191","44779 S. LASSEN AVE.","","93204-0000","PM003","0","NO","436.25","0","0","0","0","3500008","3850008","FALLON LOGISTICS","DEN","FALLON LOGISTICS","VEMURIB1","2022-01-03 00:00:00","EXPORTED FOR PAYMENT","JOHNSON1","2022-01-18 00:00:00","CST","MILLER1","2022-01-03 00:00:00","202201","","Other Auxiliary Equipment","0.1"
"616933","PHX","77PHX","S2072","001000009","F","FUELMAN MASTERCARD","CHDLZ","PREFERRED","PREMIUM UNLEADED","","096347","REGULAR","2022-01-01","ONE9 EZ TRIP 1277","AVENAL","CA","CALIFORNIA","81387","FLATBED","827131","DIESEL","GASOLINE","119","3.7070","441.13","441.13","GAL","2022-01-01","1","USD","E","LINGARAJ, NAVEEN","0","F","CL191","44779 S. LASSEN AVE.","","93204-0000","PM003","0","NO","441.13","0","0","0","0","3500009","3850009","FALLON LOGISTICS","PHX","FALLON LOGISTICS","JONES1","2022-01-03 00:00:00","EXPORTED FOR PAYMENT","CAPWELA1","2022-01-18 00:00:00","CST","MILLER1","2022-01-03 00:00:00","202201","","Other Auxiliary Equipment","0.1"
"616934","SFO","77SFO","S2069","001000010","F","FUELMAN MASTERCARD","CHDLZ","PREFERRED","DIESEL","","096131","REGULAR","2022-01-01","EXXON MOBIL","BAKERSFIELD","CA","CALIFORNIA","88697","FLATBED","742827","UNLEADED GASOLINE","GASOLINE","110","4.4280","487.08","487.08","GAL","2022-01-01","1","USD","E","LINGARAJ, NAVEEN","0","F","CL191","9012 ELM ST.","","93204-0000","PM003","0","NO","487.08","0","0","0","0","3500010","3850010","FALLON LOGISTICS","SFO","FALLON LOGISTICS","WILLIAMS1","2022-01-03 00:00:00","EXPORTED FOR PAYMENT","ANDERSON1","2022-01-18 00:00:00","CST","MILLER1","2022-01-03 00:00:00","202201","","Other Auxiliary Equipment","0.1"
"616935","SEA","77SEA","S2072","001000011","F","FUELMAN MASTERCARD","CHDLZ","PREFERRED","PREMIUM UNLEADED","","094935","REGULAR","2022-01-01","ONE9 EZ TRIP 1277","AVENAL","CA","CALIFORNIA","86958","TANKER","671509","DIESEL #2 ULTRA-LOW SULFUR CARB WIT","DIESEL","119","4.0510","482.07","482.07","GAL","2022-01-01","1","USD","E","LINGARAJ, NAVEEN","0","F","CL191","44779 S. LASSEN AVE.","","93204-0000","PM003","0","NO","482.07","0","0","0","0","3500011","3850011","FALLON LOGISTICS","SEA","FALLON LOGISTICS","DAVIS1","2022-01-03 00:00:00","EXPORTED FOR PAYMENT","ANDERSON1","2022-01-18 00:00:00","CST","JONES1","2022-01-03 00:00:00","202201","","Other Auxiliary Equipment","0.1"
"616936","SAN","77SAN","S2068","001000012","F","FUELMAN MASTERCARD","CHDLZ","PREFERRED","PREMIUM UNLEADED","","098186","REGULAR","2022-01-01","SHELL GAS STATION","LOS ANGELES","CA","CALIFORNIA","86853","CONTAINER","520178","PREMIUM UNLEADED","UNLEADED","139","5.2010","722.94","722.94","GAL","2022-01-01","1","USD","E","LINGARAJ, NAVEEN","0","F","CL191","1234 MAIN ST.","","93204-0000","PM003","0","NO","722.94","0","0","0","0","3500012","3850012","FALLON LOGISTICS","SAN","FALLON LOGISTICS","MILLER1","2022-01-03 00:00:00","EXPORTED FOR PAYMENT","CAPWELA1","2022-01-18 00:00:00","CST","SMITH1","2022-01-03 00:00:00","202201","","Other Auxiliary Equipment","0.1"
"616937","SFO","77SFO","S2070","001000013","F","FUELMAN MASTERCARD","CHDLZ","PREFERRED","PREMIUM UNLEADED","","097561","REGULAR","2022-01-01","LOVES TRAVEL STOP","VISALIA","CA","CALIFORNIA","85004","FLATBED","758982","DIESEL","DIESEL","89","4.4550","396.50","396.50","GAL","2022-01-01","1","USD","E","LINGARAJ, NAVEEN","0","F","CL191","0123 WILLOW AVE.","","93204-0000","PM003","0","NO","396.50","0","0","0","0","3500013","3850013","FALLON LOGISTICS","SFO","FALLON LOGISTICS","BROWN1","2022-01-03 00:00:00","EXPORTED FOR PAYMENT","MOORE1","2022-01-18 00:00:00","CST","VEMURIB1","2022-01-03 00:00:00","202201","","Other Auxiliary Equipment","0.1"
"616938","DEN","77DEN","S2074","001000014","F","FUELMAN MASTERCARD","CHDLZ","PREFERRED","PREMIUM UNLEADED","","097505","REGULAR","2022-01-01","SPEEDWAY","STOCKTON","CA","CALIFORNIA","85774","TRACTOR(DAY)","658255","DIESEL #2 ULTRA-LOW SULFUR CARB WIT","GASOLINE","73","5.1740","377.70","377.70","GAL","2022-01-01","1","USD","E","LINGARAJ, NAVEEN","0","F","CL191","2345 ASH ST.","","93204-0000","PM003","0","NO","377.70","0","0","0","0","3500014","3850014","FALLON LOGISTICS","DEN","FALLON LOGISTICS","VEMURIB1","2022-01-03 00:00:00","EXPORTED FOR PAYMENT","CAPWELA1","2022-01-18 00:00:00","CST","VEMURIB1","2022-01-03 00:00:00","202201","","Other Auxiliary Equipment","0.1"
"616939","PDX","77PDX","S2067","001000015","F","FUELMAN MASTERCARD","CHDLZ","PREFERRED","PREMIUM UNLEADED","","090350","REGULAR","2022-01-01","TA PETRO","FONTANA","CA","CALIFORNIA","83781","VAN","787962","DIESEL","UNLEADED","128","4.3300","554.24","554.24","GAL","2022-01-01","1","USD","E","LINGARAJ, NAVEEN","0","F","CL191","4567 CEDAR ST.","","93204-0000","PM003","0","NO","554.24","0","0","0","0","3500015","3850015","FALLON LOGISTICS","PDX","FALLON LOGISTICS","MILLER1","2022-01-03 00:00:00","EXPORTED FOR PAYMENT","JACKSON1","2022-01-18 00:00:00","CST","DAVIS1","2022-01-03 00:00:00","202201","","Other Auxiliary Equipment","0.1"
"616940","DEN","77DEN","S2067","001000016","F","FUELMAN MASTERCARD","CHDLZ","PREFERRED","PREMIUM UNLEADED","","094125","REGULAR","2022-01-01","LOVES TRAVEL STOP","VISALIA","CA","CALIFORNIA","88125","TRACTOR(SLEEP)","801770","DIESEL","GASOLINE","51","4.1030","209.25","209.25","GAL","2022-01-01","1","USD","E","LINGARAJ, NAVEEN","0","F","CL191","0123 WILLOW AVE.","","93204-0000","PM003","0","NO","209.25","0","0","0","0","3500016","3850016","FALLON LOGISTICS","DEN","FALLON LOGISTICS","WILLIAMS1","2022-01-03 00:00:00","EXPORTED FOR PAYMENT","CAPWELA1","2022-01-18 00:00:00","CST","WILSON1","2022-01-03 00:00:00","202201","","Other Auxiliary Equipment","0.1"
"616941","DEN","77DEN","S2071","001000017","F","FUELMAN MASTERCARD","CHDLZ","PREFERRED","PREMIUM UNLEADED","","091100","REGULAR","2022-01-01","ONE9 EZ TRIP 1277","AVENAL","CA","CALIFORNIA","85409","TANKER","835847","PREMIUM UNLEADED","GASOLINE","147","3.7590","552.57","552.57","GAL","2022-01-01","1","USD","E","LINGARAJ, NAVEEN","0","F","CL191","44779 S. LASSEN AVE.","","93204-0000","PM003","0","NO","552.57","0","0","0","0","3500017","3850017","FALLON LOGISTICS","DEN","FALLON LOGISTICS","WILSON1","2022-01-03 00:00:00","EXPORTED FOR PAYMENT","THOMAS1","2022-01-18 00:00:00","CST","BROWN1","2022-01-03 00:00:00","202201","","Other Auxiliary Equipment","0.1"
"616942","LAX","77LAX","S2071","001000018","F","FUELMAN MASTERCARD","CHDLZ","PREFERRED","PREMIUM UNLEADED","","097313","REGULAR","2022-01-01","CHEVRON FUEL","FRESNO","CA","CALIFORNIA","87399","TRUCK(STRAIGHT)","613503","DIESEL","DIESEL","149","4.2020","626.10","626.10","GAL","2022-01-01","1","USD","E","LINGARAJ, NAVEEN","0","F","CL191","5678 OAK AVE.","","93204-0000","PM003","0","NO","626.10","0","0","0","0","3500018","3850018","FALLON LOGISTICS","LAX","FALLON LOGISTICS","WILSON1","2022-01-03 00:00:00","EXPORTED FOR PAYMENT","MARTIN1","2022-01-18 00:00:00","CST","MILLER1","2022-01-03 00:00:00","202201","","Other Auxiliary Equipment","0.1"
"616943","DEN","77DEN","S2066","001000019","F","FUELMAN MASTERCARD","CHDLZ","PREFERRED","DIESEL #2 ULTRA-LOW SULFUR CARB WIT","","091305","REGULAR","2022-01-01","BP FUEL STOP","SACRAMENTO","CA","CALIFORNIA","86312","TRACTOR(DAY)","708295","DIESEL #2 ULTRA-LOW SULFUR CARB WIT","PREMIUM","111","3.5170","390.39","390.39","GAL","2022-01-01","1","USD","E","LINGARAJ, NAVEEN","0","F","CL191","3456 PINE ST.","","93204-0000","PM003","0","NO","390.39","0","0","0","0","3500019","3850019","FALLON LOGISTICS","DEN","FALLON LOGISTICS","WILLIAMS1","2022-01-03 00:00:00","EXPORTED FOR PAYMENT","TAYLOR1","2022-01-18 00:00:00","CST","MILLER1","2022-01-03 00:00:00","202201","","Other Auxiliary Equipment","0.1"
"616944","SFO","77SFO","S2069","001000020","F","FUELMAN MASTERCARD","CHDLZ","PREFERRED","UNLEADED GASOLINE","","097037","REGULAR","2022-01-01","SPEEDWAY","STOCKTON","CA","CALIFORNIA","89832","TRACTOR(DAY)","716083","UNLEADED GASOLINE","DIESEL","115","3.6890","424.24","424.24","GAL","2022-01-01","1","USD","E","LINGARAJ, NAVEEN","0","F","CL191","2345 ASH ST.","","93204-0000","PM003","0","NO","424.24","0","0","0","0","3500020","3850020","FALLON LOGISTICS","SFO","FALLON LOGISTICS","VEMURIB1","2022-01-03 00:00:00","EXPORTED FOR PAYMENT","MOORE1","2022-01-18 00:00:00","CST","DAVIS1","2022-01-03 00:00:00","202201","","Other Auxiliary Equipment","0.1"
"616945","PHX","77PHX","S2072","001000021","F","FUELMAN MASTERCARD","CHDLZ","PREFERRED","PREMIUM UNLEADED","","091514","REGULAR","2022-01-01","ONE9 EZ TRIP 1277","AVENAL","CA","CALIFORNIA","89291","CONTAINER","770163","UNLEADED GASOLINE","DIESEL","99","4.5620","451.64","451.64","GAL","2022-01-01","1","USD","E","LINGARAJ, NAVEEN","0","F","CL191","44779 S. LASSEN AVE.","","93204-0000","PM003","0","NO","451.64","0","0","0","0","3500021","3850021","FALLON LOGISTICS","PHX","FALLON LOGISTICS","WILSON1","2022-01-03 00:00:00","EXPORTED FOR PAYMENT","ANDERSON1","2022-01-18 00:00:00","CST","VEMURIB1","2022-01-03 00:00:00","202201","","Other Auxiliary Equipment","0.1"
"616946","SEA","77SEA","S2072","001000022","F","FUELMAN MASTERCARD","CHDLZ","PREFERRED","PREMIUM UNLEADED","","099865","REGULAR","2022-01-01","ONE9 EZ TRIP 1277","AVENAL","CA","CALIFORNIA","86665","TRAILER","824559","DIESEL #2 ULTRA-LOW SULFUR CARB WIT","DIESEL","90","4.6790","421.11","421.11","GAL","2022-01-01","1","USD","E","LINGARAJ, NAVEEN","0","F","CL191","44779 S. LASSEN AVE.","","93204-0000","PM003","0","NO","421.11","0","0","0","0","3500022","3850022","FALLON LOGISTICS","SEA","FALLON LOGISTICS","SMITH1","2022-01-03 00:00:00","EXPORTED FOR PAYMENT","JOHNSON1","2022-01-18 00:00:00","CST","DAVIS1","2022-01-03 00:00:00","202201","","Other Auxiliary Equipment","0.1"
"616947","PDX","77PDX","S2066","001000023","F","FUELMAN MASTERCARD","CHDLZ","PREFERRED","DIESEL #2 ULTRA-LOW SULFUR CARB WIT","","092539","REGULAR","2022-01-01","SPEEDWAY","STOCKTON","CA","CALIFORNIA","86527","CONTAINER","849443","DIESEL #2 ULTRA-LOW SULFUR CARB WIT","PREMIUM","83","5.4570","452.93","452.93","GAL","2022-01-01","1","USD","E","LINGARAJ, NAVEEN","0","F","CL191","2345 ASH ST.","","93204-0000","PM003","0","NO","452.93","0","0","0","0","3500023","3850023","FALLON LOGISTICS","PDX","FALLON LOGISTICS","WILLIAMS1","2022-01-03 00:00:00","EXPORTED FOR PAYMENT","MOORE1","2022-01-18 00:00:00","CST","BROWN1","2022-01-03 00:00:00","202201","","Other Auxiliary Equipment","0.1"
"616948","PHX","77PHX","S2074","001000024","F","FUELMAN MASTERCARD","CHDLZ","PREFERRED","DIESEL","","098506","REGULAR","2022-01-01","TA PETRO","FONTANA","CA","CALIFORNIA","86092","TRACTOR(DAY)","854637","DIESEL #2 ULTRA-LOW SULFUR CARB WIT","DIESEL","98","4.7730","467.75","467.75","GAL","2022-01-01","1","USD","E","LINGARAJ, NAVEEN","0","F","CL191","4567 CEDAR ST.","","93204-0000","PM003","0","NO","467.75","0","0","0","0","3500024","3850024","FALLON LOGISTICS","PHX","FALLON LOGISTICS","JONES1","2022-01-03 00:00:00","EXPORTED FOR PAYMENT","CAPWELA1","2022-01-18 00:00:00","CST","BROWN1","2022-01-03 00:00:00","202201","","Other Auxiliary Equipment","0.1"
"616949","DEN","77DEN","S2069","001000025","F","FUELMAN MASTERCARD","CHDLZ","PREFERRED","DIESEL","","097368","REGULAR","2022-01-01","PILOT FLYING J","MODESTO","CA","CALIFORNIA","81106","FLATBED","690269","UNLEADED GASOLINE","UNLEADED","148","4.2050","622.34","622.34","GAL","2022-01-01","1","USD","E","LINGARAJ, NAVEEN","0","F","CL191","6789 BIRCH ST.","","93204-0000","PM003","0","NO","622.34","0","0","0","0","3500025","3850025","FALLON LOGISTICS","DEN","FALLON LOGISTICS","VEMURIB1","2022-01-03 00:00:00","EXPORTED FOR PAYMENT","ANDERSON1","2022-01-18 00:00:00","CST","DAVIS1","2022-01-03 00:00:00","202201","","Other Auxiliary Equipment","0.1"
"616950","LAS","77LAS","S2068","001000026","F","FUELMAN MASTERCARD","CHDLZ","PREFERRED","PREMIUM UNLEADED","","094948","REGULAR","2022-01-01","PILOT FLYING J","MODESTO","CA","CALIFORNIA","89792","FLATBED","711198","UNLEADED GASOLINE","DIESEL","137","3.8210","523.48","523.48","GAL","2022-01-01","1","USD","E","LINGARAJ, NAVEEN","0","F","CL191","6789 BIRCH ST.","","93204-0000","PM003","0","NO","523.48","0","0","0","0","3500026","3850026","FALLON LOGISTICS","LAS","FALLON LOGISTICS","WILSON1","2022-01-03 00:00:00","EXPORTED FOR PAYMENT","THOMAS1","2022-01-18 00:00:00","CST","BROWN1","2022-01-03 00:00:00","202201","","Other Auxiliary Equipment","0.1"
"616951","DEN","77DEN","S2066","001000027","F","FUELMAN MASTERCARD","CHDLZ","PREFERRED","PREMIUM UNLEADED","","096217","REGULAR","2022-01-01","ONE9 EZ TRIP 1277","AVENAL","CA","CALIFORNIA","83276","TRACTOR(DAY)","909716","UNLEADED GASOLINE","DIESEL","120","3.9810","477.72","477.72","GAL","2022-01-01","1","USD","E","LINGARAJ, NAVEEN","0","F","CL191","44779 S. LASSEN AVE.","","93204-0000","PM003","0","NO","477.72","0","0","0","0","3500027","3850027","FALLON LOGISTICS","DEN","FALLON LOGISTICS","MILLER1","2022-01-03 00:00:00","EXPORTED FOR PAYMENT","JACKSON1","2022-01-18 00:00:00","CST","WILSON1","2022-01-03 00:00:00","202201","","Other Auxiliary Equipment","0.1"
"616952","FNL","77FNL","S2073","001000028","F","FUELMAN MASTERCARD","CHDLZ","PREFERRED","DIESEL","","090682","REGULAR","2022-01-01","BP FUEL STOP","SACRAMENTO","CA","CALIFORNIA","81330","TANKER","552417","DIESEL","UNLEADED","80","4.3160","345.28","345.28","GAL","2022-01-01","1","USD","E","LINGARAJ, NAVEEN","0","F","CL191","3456 PINE ST.","","93204-0000","PM003","0","NO","345.28","0","0","0","0","3500028","3850028","FALLON LOGISTICS","FNL","FALLON LOGISTICS","SMITH1","2022-01-03 00:00:00","EXPORTED FOR PAYMENT","JOHNSON1","2022-01-18 00:00:00","CST","WILSON1","2022-01-03 00:00:00","202201","","Other Auxiliary Equipment","0.1"
"616953","SFO","77SFO","S2071","001000029","F","FUELMAN MASTERCARD","CHDLZ","PREFERRED","UNLEADED GASOLINE","","095262","REGULAR","2022-01-01","EXXON MOBIL","BAKERSFIELD","CA","CALIFORNIA","85845","VAN","838362","DIESEL #2 ULTRA-LOW SULFUR CARB WIT","UNLEADED","125","3.7420","467.75","467.75","GAL","2022-01-01","1","USD","E","LINGARAJ, NAVEEN","0","F","CL191","9012 ELM ST.","","93204-0000","PM003","0","NO","467.75","0","0","0","0","3500029","3850029","FALLON LOGISTICS","SFO","FALLON LOGISTICS","WILLIAMS1","2022-01-03 00:00:00","EXPORTED FOR PAYMENT","ANDERSON1","2022-01-18 00:00:00","CST","MILLER1","2022-01-03 00:00:00","202201","","Other Auxiliary Equipment","0.1"
"616954","SAN","77SAN","S2066","001000030","F","FUELMAN MASTERCARD","CHDLZ","PREFERRED","PREMIUM UNLEADED","","096254","REGULAR","2022-01-01","EXXON MOBIL","BAKERSFIELD","CA","CALIFORNIA","88371","TRAILER","817583","DIESEL","DIESEL","65","4.9980","324.87","324.87","GAL","2022-01-01","1","USD","E","LINGARAJ, NAVEEN","0","F","CL191","9012 ELM ST.","","93204-0000","PM003","0","NO","324.87","0","0","0","0","3500030","3850030","FALLON LOGISTICS","SAN","FALLON LOGISTICS","JONES1","2022-01-03 00:00:00","EXPORTED FOR PAYMENT","ANDERSON1","2022-01-18 00:00:00","CST","SMITH1","2022-01-03 00:00:00","202201","","Other Auxiliary Equipment","0.1"
